target_id,input_tokens,output_tokens,latency,success,pred_id,answer
1,626,6,0.3,1,1,go_near(1)
2,609,6,0.18,1,2,go_near(2)
3,609,6,0.18,1,3,go_near(3)
4,565,6,0.17,1,4,go_near(4)
5,619,6,0.19,1,5,go_near(5)
6,569,6,0.18,1,6,go_near(6)
7,608,6,0.19,1,7,go_near(7)
8,610,6,0.19,1,8,go_near(8)
9,625,6,0.19,1,9,go_near(9)
10,606,7,0.21,1,10,go_near(10)
11,611,7,0.21,1,11,go_near(11)
12,562,7,0.2,1,12,go_near(12)
13,619,7,0.21,1,13,go_near(13)
14,612,7,0.2,1,14,go_near(14)
15,614,7,0.2,1,15,go_near(15)
