target_id,input_tokens,output_tokens,latency,success,pred_id,answer
1,1130,6,0.43,1,1,go_near(1)
2,1127,6,0.25,1,2,go_near(2)
3,1127,6,0.23,1,3,go_near(3)
4,1128,6,0.25,1,4,go_near(4)
5,1126,6,0.25,1,5,go_near(5)
6,1126,6,0.24,1,6,go_near(6)
7,1126,6,0.25,1,7,go_near(7)
8,1130,6,0.25,1,8,go_near(8)
9,1128,6,0.23,1,9,go_near(9)
10,1128,7,0.27,1,10,go_near(10)
11,1123,7,0.27,1,11,go_near(11)
12,1123,7,0.27,1,12,go_near(12)
13,1121,6,0.24,0,5,go_near(5)
14,1126,7,0.26,1,14,go_near(14)
15,1126,6,0.25,0,3,go_near(3)
